eva,ds100,name,lat,lon,city_search_string,city,zip,filename
8010067,UBF,Bufleben,50.997681,10.709057000000001,Warza,Warza,99869.0,
8001262,RBGG,Buggingen,47.855253999999995,7.628161,Buggingen,Buggingen,79426.0,
8001264,KBUH,Buir,50.862401,6.574514,Kerpen,Kerpen,50170.0,
8001266,EBUD,Buldern,51.863054,7.370479,Dülmen,Dülmen,48249.0,
8001267,SBY,Bullay(DB),50.05446,7.134583999999999,Bullay,Bullay,56859.0,
8400140,ONBU,Bunde,50.896945953369,6.2775001525879,no-data,no-data,,
8079087,SBTR,Bundenthal-Rumbach,49.102353,7.806152,no-data,no-data,,
8001302,SSHI,Burbach Mitte,49.243611,6.9449320000000005,Saarbrücken,Saarbrücken,66115.0,
8001268,EBUR,Burbach(Kr Siegen),50.74896500000001,8.077808000000001,Burbach,Burbach ,57299.0,
8011293,WBSG,Burg Stargard(Meckl),53.49959000000001,13.303225,Burg Stargard (Meckl),Burg Stargard (Meckl),17094.0,
8001271,FBUN,Burg(Dillkr) Nord,50.699884000000004,8.307686,Herborn,Herborn,35745.0,
8001273,ABR,Burg(Dithm),54.007967,9.250086999999999,Burg,Burg,25712.0,
8011294,LBU,Burg(Magdeburg),52.274406,11.840356,Burg,Burg,39288.0,
8000061,FBNG,Burg-u. Nieder Gemünden,50.691113,9.047604,Gemünden (Felda),Gemünden (Felda),35329.0,
8001276,MBGU,Burgau(Schwab),48.424797,10.427012,Burgau,Burgau,89331.0,
8001277,NBUM,Burgbernheim,49.454322,10.320221,Burgbernheim,Burgbernheim,91593.0,
8001278,NBUW,Burgbernheim-Wildbad,49.443294,10.312317,Burgbernheim-Wildbad,Burgbernheim-Wildbad,91593.0,
8001279,HBGD,Burgdorf,52.448707999999996,10.002837,Burgdorf,Burgdorf ,31303.0,
8001283,FBUH,Burghaun(Hünfeld),50.70055,9.727953,Burghaun,Burghaun  ,36151.0,
8001284,MBUH,Burghausen,48.1742,12.828182,no-data,no-data,,
8001285,MBGH,Burgheim,48.70105,11.026983999999999,Burgheim,Burgheim,86666.0,
8001287,FBGH,Burgholzhausen v d H,50.257793,8.677106,Friedrichsdorf,Friedrichsdorf,61381.0,
8011296,LBGK,Burgkemnitz,51.688818,12.407167,Burgkemnitz,Burgkemnitz,6804.0,
8001288,MBGK,Burgkirchen,48.166908,12.727783,no-data,no-data,,
8001289,NBK,Burgkunstadt,50.137657,11.242723,Burgkunstadt,Burgkunstadt,96224.0,
8001290,NBUR,Burglauer,50.27434,10.184441,Burglauer,Burglauer,97724.0,
8001293,NBN,Burgsinn,50.150317,9.656067,Burgsinn,Burgsinn,97775.0,
8001296,TBU,Burgstall(Murr),48.928647,9.369932,Burgstetten,Burgstetten,71576.0,
8011297,DBU,Burgstädt,50.915817,12.812707000000001,Burgstädt,Burgstädt,9217.0,
8001297,NBUT,Burgthann,49.342473999999996,11.309307,Burgthann,Burgthann,90559.0,
8001281,TBUW,Burgweiler,47.92276500000001,9.343805,no-data,no-data,,
